report_category,product_name,name,num,part,count,timestamp
影片連結失效/錯誤,電視連續劇,First Class,10,1,1,2014-10-15
影片連結失效/錯誤,電視連續劇,"有愛一家人 ",60,1,1,2014-10-15
影片連結失效/錯誤,電視連續劇,"多謝款待 ",36,1,1,2014-10-15
影片連結失效/錯誤,電視連續劇,誘惑,6,2,1,2014-10-15
影片連結失效/錯誤,電視連續劇,宮鎖連城,39,1,1,2014-10-15
影片連結失效/錯誤,電視連續劇,對我而言可愛的她,8,1,1,2014-10-15
影片連結失效/錯誤,電視連續劇,沒關係 是愛情啊,1,1,1,2014-10-15
影片連結失效/錯誤,電視連續劇,"愛情雨 ",5,1,2,2014-10-14
影片連結失效/錯誤,電視連續劇,戀愛的發現,9,1,1,2014-10-14
影片連結失效/錯誤,電視連續劇,無盡的愛,33,1,1,2014-10-13
影片連結失效/錯誤,電視連續劇,艋舺的女人,43,1,1,2014-10-12
影片連結失效/錯誤,電視連續劇,對我而言可愛的她,8,2,1,2014-10-12
影片連結失效/錯誤,電視連續劇,"擁抱太陽的月亮 ",9,5,1,2014-10-11
影片連結失效/錯誤,電視連續劇,"歡迎來到萬事占卜陰陽屋 ",4,1,1,2014-10-11
影片連結失效/錯誤,電視連續劇,鋼鐵人,4,1,1,2014-10-11
影片連結失效/錯誤,電視連續劇,"你為我著迷 ",1,3,1,2014-10-11
影片連結失效/錯誤,電視連續劇,"安堂機器人 ",4,1,1,2014-10-11
影片連結失效/錯誤,電視連續劇,"擁抱太陽的月亮 ",7,5,1,2014-10-11
影片連結失效/錯誤,電視連續劇,風水世家,302,1,1,2014-10-11
影片連結失效/錯誤,電視連續劇,我們結婚了世界版第二季,4,2,1,2014-10-11
影片連結失效/錯誤,電視連續劇,Running Man,212,1,1,2014-10-11
影片連結失效/錯誤,電視連續劇,妹妹,5,5,1,2014-10-11
影片連結失效/錯誤,電視連續劇,異鄉人醫生(愛在異鄉),4,1,1,2014-10-11
影片連結失效/錯誤,電視連續劇,命中注定我愛你,1,1,1,2014-10-11
影片連結失效/錯誤,電視連續劇,妹妹,6,6,1,2014-10-11
影片連結失效/錯誤,電視連續劇,Running Man,18,1,1,2014-10-10
影片連結失效/錯誤,電視連續劇,Running Man,17,2,1,2014-10-10
影片連結失效/錯誤,電視連續劇,喬家大院,42,1,1,2014-10-10
影片連結失效/錯誤,電視連續劇,Running Man,21,2,1,2014-10-10
影片連結失效/錯誤,電視連續劇,中國好聲音 第三季,13,1,1,2014-10-10
影片連結失效/錯誤,電視連續劇,"真愛趁現在 ",14,4,1,2014-10-10
影片連結失效/錯誤,電視連續劇,中國好聲音 第三季,14,1,1,2014-10-10
影片連結失效/錯誤,電視連續劇,不一樣的美男子,1,1,1,2014-10-10
影片連結失效/錯誤,電視連續劇,謊言遊戲,1,2,1,2014-10-10
影片連結失效/錯誤,電視連續劇,命中注定我愛你,19,1,1,2014-10-10
影片連結失效/錯誤,電視連續劇,喬家大院,44,1,1,2014-10-10
影片連結失效/錯誤,電視連續劇,中國好聲音 第三季,14,1,1,2014-10-09
影片連結失效/錯誤,電視連續劇,妹妹,8,1,1,2014-10-09
影片連結失效/錯誤,電視連續劇,"再一次心跳 ",3,1,1,2014-10-09
影片連結失效/錯誤,電視連續劇,沒關係 是愛情啊,3,1,1,2014-10-09
影片連結失效/錯誤,電視連續劇,"繼承者們 ",15,1,1,2014-10-09
影片連結失效/錯誤,電視連續劇,"世間情 ",228,1,1,2014-10-09
影片連結失效/錯誤,電視連續劇,對我而言可愛的她,5,1,1,2014-10-09
影片連結失效/錯誤,電視連續劇,芙蓉閣之戀 (新妓生傳),52,1,1,2014-10-09
影片連結失效/錯誤,電視連續劇,異鄉人醫生(愛在異鄉),5,1,1,2014-10-08
影片連結失效/錯誤,電視連續劇,Roommate,10,1,1,2014-10-08
影片連結失效/錯誤,電視連續劇,罪人的謊言,5,1,1,2014-10-08
影片連結失效/錯誤,電視連續劇,艋舺的女人,1,1,1,2014-10-08
影片連結失效/錯誤,電視連續劇,古劍奇譚,15,1,1,2014-10-08
影片連結失效/錯誤,電視連續劇,異鄉人醫生(愛在異鄉),1,1,1,2014-10-08
影片連結失效/錯誤,電視連續劇,對我而言可愛的她,1,1,1,2014-10-08
影片連結失效/錯誤,電視連續劇,"城市獵人 ",4,2,1,2014-10-08
影片連結失效/錯誤,電視連續劇,"命中註定我愛你 ",15,1,1,2014-10-08
影片連結失效/錯誤,電視連續劇,戀愛的發現,15,1,3,2014-10-07
影片連結失效/錯誤,電視連續劇,中國好聲音 第三季,14,1,1,2014-10-07
