date,report_category,count
2014-10-16,影片沒有聲音,10
2014-10-16,功能建議,4
2014-10-16,影片連結失效/錯誤(system),5766
2014-10-16,影片畫質不佳/播放不順,8
2014-10-15,影片沒有聲音,7
2014-10-15,功能建議,1
2014-10-15,影片畫質不佳/播放不順,12
2014-10-15,影片連結失效/錯誤(system),6460
2014-10-15,影片連結失效/錯誤,7
2014-10-14,影片連結失效/錯誤(system),4539
2014-10-14,影片連結失效/錯誤,3
2014-10-14,影片沒有聲音,7
2014-10-14,功能建議,2
2014-10-14,影片畫質不佳/播放不順,6
2014-10-13,影片連結失效/錯誤,1
2014-10-13,影片連結失效/錯誤(system),254
2014-10-13,影片畫質不佳/播放不順,2
2014-10-12,影片沒有聲音,5
2014-10-12,影片連結失效/錯誤(system),2997
2014-10-12,影片連結失效/錯誤,2
2014-10-12,影片畫質不佳/播放不順,6
2014-10-11,功能建議,0
2014-10-11,功能建議,4
2014-10-11,影片連結失效/錯誤,13
2014-10-11,影片畫質不佳/播放不順,10
2014-10-11,影片連結失效/錯誤(system),9108
2014-10-11,影片沒有聲音,11
2014-10-10,影片連結失效/錯誤(system),12173
2014-10-10,影片沒有聲音,16
2014-10-10,影片畫質不佳/播放不順,20
2014-10-10,影片連結失效/錯誤,11
2014-10-10,功能建議,5
2014-10-09,功能建議,3
2014-10-09,影片沒有聲音,16
2014-10-09,影片連結失效/錯誤(system),14695
2014-10-09,影片連結失效/錯誤,8
2014-10-09,影片畫質不佳/播放不順,6
2014-10-08,功能建議,1
2014-10-08,影片連結失效/錯誤,9
2014-10-08,影片沒有聲音,19
2014-10-08,影片畫質不佳/播放不順,19
2014-10-08,影片連結失效/錯誤(system),18850
2014-10-07,影片連結失效/錯誤(system),13973
2014-10-07,影片畫質不佳/播放不順,14
2014-10-07,影片連結失效/錯誤,8
2014-10-07,功能建議,6
2014-10-07,影片沒有聲音,14
2014-10-06,影片畫質不佳/播放不順,12
2014-10-06,功能建議,3
2014-10-06,影片連結失效/錯誤,7
2014-10-06,影片沒有聲音,19
2014-10-06,影片連結失效/錯誤(system),21148
2014-10-05,影片連結失效/錯誤(system),28324
2014-10-05,影片沒有聲音,30
2014-10-05,影片連結失效/錯誤,9
2014-10-05,功能建議,6
2014-10-05,影片畫質不佳/播放不順,21
2014-10-04,影片畫質不佳/播放不順,21
2014-10-04,影片沒有聲音,21
2014-10-04,影片連結失效/錯誤(system),30341
2014-10-04,影片連結失效/錯誤,13
2014-10-04,功能建議,5
2014-10-03,影片連結失效/錯誤,18
2014-10-03,影片畫質不佳/播放不順,12
2014-10-03,功能建議,9
2014-10-03,影片沒有聲音,23
2014-10-03,影片連結失效/錯誤(system),21911
2014-10-02,影片畫質不佳/播放不順,12
2014-10-02,影片沒有聲音,14
2014-10-02,影片連結失效/錯誤(system),16100
2014-10-02,功能建議,6
2014-10-02,影片連結失效/錯誤,12
2014-10-01,影片連結失效/錯誤(system),18005
